alias,canonical_term,category,risk_level,risk_score,rec_action,why_flagged,source_tier
33-mer gliadin peptide,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,well-known immunogenic gliadin peptide,NIH
ale,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
ale extract,beer/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,ale-derived ingredient term,GIG
all-purpose flour,wheat,wheat_ingredient,LIKELY_CONTAINS_GLUTEN,2,reject,often wheat flour in recipes,CDF/GIG
alpha gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
alpha-gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
artificial flavor,artificial flavor,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
artificial flavors,artificial flavors,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
artisan tortilla chips,mixed grains,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,may include wheat grains,CDF
atta,atta,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
atta flour,atta flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
autolysed yeast extract,autolysed yeast extract,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
autolyzed yeast extract,autolyzed yeast extract,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
avena sativa,oats,latin_scientific_name,CONTEXT_DEPENDENT,1,verify,oats are context dependent for celiac due certification/cross-contact issues,GIG/FDA/CDF
bagel,bagel,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
banger sausage,banger sausage,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
barbecue sauce,barbecue sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
barley,barley,gluten_grain,CONTAINS_GLUTEN,3,reject,core gluten-containing grain,FDA/CDF/NIH
barley enzymes,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived processing aid,CDF
barley extract,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived extract,GIG
barley flakes,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley flour,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,explicit barley ingredient,CDF
barley grits,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley malt,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived malt,CDF/GIG
barley malt extract,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt flavoring,barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,explicit malt flavoring,CDF
barley malt flour,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt powder,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt syrup,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley meal,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley sugar,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,traditional barley confection term,GIG
barley tea,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley water,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
bbq sauce,bbq sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
beef jerky teriyaki,beef jerky teriyaki,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
beer,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
beer batter,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
beer battered,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
beer cheese,beer/barley,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,beer ingredient can introduce gluten,GIG
beer flavoring,beer/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,beer-derived flavoring term,GIG
binder,binder,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
biscuit mix,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat flour mixture,CDF
black licorice,black licorice,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
black vinegar,black vinegar,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
bouillon,bouillon,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
bouillon cubes,bouillon cubes,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
bread crumbs,bread crumbs,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
bread flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,wheat flour type,CDF
breadcrumbs,breadcrumbs,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
breading,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,typically wheat-based coating,CDF
brewer's yeast,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
brewers yeast,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
brewing yeast from barley,barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley-associated brewing ingredient,GIG
broth base,broth base,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
brown rice syrup,brown rice syrup,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
brownie,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based baked good,CDF
bulgur,bulgur,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
bulgur wheat,bulgur wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
cake,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based baked good,CDF
cake flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,wheat flour type,CDF
chapati flour,chapati flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
cheesecake filling,cheesecake filling,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
chinese black vinegar,chinese black vinegar,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
chow mein noodles,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,wheat noodle term,CDF
club wheat,wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,wheat species,NIH
coating mix,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,typically wheat-based coating,CDF
cocktail mixer,cocktail mixer,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
communion wafer,communion wafer,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
cookies,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based baked good,CDF
cooking spray,cooking spray,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
corn flakes,corn flakes,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
cornbread,wheat,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,often contains wheat flour despite corn name,CDF
couscous,couscous,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
cracker meal,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based cracker crumbs,CDF
cream of wheat,wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,explicit wheat cereal,CDF
cream sauce,cream sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
cream soup,cream soup,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
crepe mix,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat flour mixture,CDF
crispy rice cereal,crispy rice cereal,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
croissant,croissant,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
croutons,croutons,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
dark rye flour,rye,rye_derivative,CONTAINS_GLUTEN,3,reject,rye flour form,CDF
deamidated gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin-derived term,NIH
deli meat,deli meat,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
dessert bar,dessert bar,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
dextrin,dextrin,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
distilled vinegar,distilled vinegar,high_risk_food_phrase,CONTEXT_DEPENDENT,1,allow_if_verified,distilled vinegar generally safe after distillation but verify additives,CDF
donut,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based baked good,CDF
dressing mix,dressing mix,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
dumpling wrappers,dumpling wrappers,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
durum,durum,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
durum semolina,semolina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,explicit wheat semolina,CDF
durum wheat,durum wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
egg noodles,egg noodles,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
einkorn,einkorn,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
einkorn flour,einkorn flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
einkorn wheat,einkorn wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
emmer,emmer,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
emmer wheat,emmer wheat,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
energy bar,energy bar,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
english mustard,english mustard,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
enriched wheat flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit wheat ingredient,CDF
farina,farina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
farina cereal,farina,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,farina is wheat based,CDF
farro,farro,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
farro grande,spelt/farro,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,farro-related wheat term,CDF
farro medio,emmer/farro,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,farro-related wheat term,CDF
farro perlato,farro,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,farro variant,CDF
farro piccolo,einkorn/farro,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,farro-related wheat term,CDF
filler,filler,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
filo dough,filo dough,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
flatbread,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,usually wheat-based,CDF
flavored chips,flavored chips,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
flour tortilla,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,wheat flour tortilla,CDF
food starch,food starch,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
freekeh,freekeh,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
french fries battered,french fries battered,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
fudge bar,fudge bar,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
gamma gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
gamma-gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,wheat prolamin fraction of gluten,NIH
gluten,gluten,gluten_protein_family,CONTAINS_GLUTEN,3,reject,explicit gluten term,FDA/CDF/NIH
gluten flour,wheat,wheat_ingredient,CONTAINS_GLUTEN,3,reject,explicit gluten flour term,GIG
gluten peptide,gluten,gluten_protein,CONTAINS_GLUTEN,3,reject,explicit gluten peptide term,NIH
glutenin,glutenin,gluten_protein,CONTAINS_GLUTEN,3,reject,wheat glutenin fraction,NIH
gnocchi,wheat,high_risk_food_phrase,LIKELY_CONTAINS_GLUTEN,2,reject,often contains wheat flour,CDF
goldfish crackers,wheat,high_risk_food_phrase,CONTAINS_GLUTEN,3,reject,common wheat-based cracker,CDF
graham,graham,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
